#,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,image_url,Vgc2022Rules,MonthlyUsageMarch2022,UsagePercentMarch2022,MonthlyRankMarch2022
1,Bulbasaur,Bulbasaur,,1,Common,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Permitted,,,
2,Ivysaur,Ivysaur,,1,Common,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Permitted,,,
3,Venusaur,Venusaur,,1,Common,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Permitted,204,7,24
3,Mega Venusaur,Venusaur,Mega,6,Common,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Banned,,,
3,Venusaur Gigantamax,Venusaur,Gigantamax,8,,Grass,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,Gigantamax Allowed,,,
4,Charmander,Charmander,,1,Common,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Permitted,,,
5,Charmeleon,Charmeleon,,1,Common,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Permitted,,,
6,Mega Charizard Y,Charizard,Mega  Y,6,Common,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Banned,,,
6,Charizard Gigantamax,Charizard,Gigantamax,8,,Fire,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,Gigantamax Allowed,,,
6,Mega Charizard X,Charizard,Mega  X,6,Common,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Banned,,,
6,Charizard,Charizard,,1,Common,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Permitted,344,19,12
7,Squirtle,Squirtle,,1,Common,Water,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Permitted,,,
8,Wartortle,Wartortle,,1,Common,Water,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Permitted,,,
9,Blastoise Gigantamax,Blastoise,Gigantamax,8,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,Gigantamax Allowed,,,
9,Blastoise,Blastoise,,1,Common,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Permitted,98,7,23
9,Mega Blastoise,Blastoise,Mega,6,Common,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Banned,,,
10,Caterpie,Caterpie,,1,Common,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Permitted,,,
