,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
0,Jolly,0/252/0/0/4/252,10.388%,Zacian Crowned Sword
1,Adamant,252/28/4/0/12/212,4.504%,Zacian Crowned Sword
2,Jolly,4/252/0/0/0/252,4.419%,Zacian Crowned Sword
3,Adamant,188/164/4/0/4/148,2.891%,Zacian Crowned Sword
4,Jolly,0/252/4/0/0/252,2.456%,Zacian Crowned Sword
5,Adamant,4/252/0/0/0/252,2.241%,Zacian Crowned Sword
6,Adamant,188/156/4/0/4/156,2.054%,Zacian Crowned Sword
7,Adamant,0/252/4/0/0/252,1.852%,Zacian Crowned Sword
8,Adamant,212/36/12/0/36/212,1.501%,Zacian Crowned Sword
9,Adamant,252/76/4/0/36/140,1.490%,Zacian Crowned Sword
10,Jolly,116/140/0/0/0/252,1.432%,Zacian Crowned Sword
11,Adamant,188/100/4/0/4/212,1.312%,Zacian Crowned Sword
12,Adamant,172/236/0/0/0/100,1.239%,Zacian Crowned Sword
13,Jolly,68/172/12/0/4/252,1.043%,Zacian Crowned Sword
14,Jolly,12/236/4/0/4/252,1.021%,Zacian Crowned Sword
15,Adamant,204/76/4/0/4/220,0.981%,Zacian Crowned Sword
16,Adamant,252/4/0/0/0/252,0.934%,Zacian Crowned Sword
17,Jolly,172/204/12/0/4/116,0.909%,Zacian Crowned Sword
18,Adamant,188/92/0/0/0/228,0.901%,Zacian Crowned Sword
19,Adamant,124/156/4/0/4/220,0.898%,Zacian Crowned Sword
20,Impish,252/4/156/0/68/28,4.174%,Incineroar
21,Careful,244/4/76/0/156/28,3.679%,Incineroar
22,Careful,236/4/76/0/76/116,2.798%,Incineroar
23,Impish,252/4/76/0/172/4,2.312%,Incineroar
24,Careful,236/4/76/0/108/84,2.019%,Incineroar
25,Careful,252/0/100/0/156/0,1.847%,Incineroar
26,Jolly,244/4/4/0/4/252,1.804%,Incineroar
27,Impish,252/4/124/0/108/20,1.803%,Incineroar
28,Careful,252/4/68/0/172/12,1.535%,Incineroar
29,Impish,236/4/156/0/84/28,1.368%,Incineroar
30,Jolly,4/252/0/0/0/252,1.186%,Incineroar
31,Impish,244/4/124/0/108/28,1.141%,Incineroar
32,Impish,252/4/100/0/124/28,1.076%,Incineroar
33,Careful,244/4/68/0/76/116,1.071%,Incineroar
34,Careful,244/4/68/0/156/36,1.036%,Incineroar
35,Careful,236/4/60/0/132/76,1.033%,Incineroar
36,Impish,252/0/196/0/60/0,1.030%,Incineroar
37,Impish,244/4/156/0/84/20,1.007%,Incineroar
38,Jolly,116/132/4/0/4/252,0.993%,Incineroar
39,Adamant,252/252/0/0/4/0,0.948%,Incineroar
40,Timid,0/0/0/252/4/252,15.248%,Kyogre
41,Timid,4/0/0/252/0/252,9.562%,Kyogre
42,Timid,0/0/4/252/0/252,5.911%,Kyogre
43,Modest,4/0/0/252/0/252,3.774%,Kyogre
44,Modest,0/0/4/252/0/252,3.227%,Kyogre
45,Modest,124/0/0/156/0/228,2.661%,Kyogre
46,Modest,0/0/0/252/4/252,1.870%,Kyogre
47,Modest,108/0/4/156/4/236,1.501%,Kyogre
48,Modest,132/0/0/252/0/124,1.274%,Kyogre
49,Timid,12/0/4/236/4/252,1.245%,Kyogre
50,Modest,244/0/0/252/0/12,1.173%,Kyogre
51,Timid,28/0/20/252/4/204,1.170%,Kyogre
52,Modest,124/0/44/252/4/84,1.137%,Kyogre
53,Timid,28/0/4/252/20/204,1.112%,Kyogre
54,Modest,204/0/60/156/12/76,1.091%,Kyogre
55,Modest,252/0/0/236/0/20,1.075%,Kyogre
56,Modest,108/0/4/164/4/228,1.055%,Kyogre
57,Timid,28/0/4/204/20/252,1.016%,Kyogre
58,Modest,188/0/148/156/4/12,1.010%,Kyogre
59,Modest,132/0/68/76/4/228,0.975%,Kyogre
60,Impish,164/0/188/0/156/0,6.755%,Grimmsnarl
61,Careful,252/0/140/0/116/0,6.611%,Grimmsnarl
62,Careful,220/4/156/0/116/12,6.246%,Grimmsnarl
63,Careful,228/4/140/0/116/20,5.590%,Grimmsnarl
64,Careful,252/4/204/0/36/12,5.117%,Grimmsnarl
65,Careful,220/4/140/0/116/28,3.473%,Grimmsnarl
66,Jolly,252/0/0/0/4/252,2.553%,Grimmsnarl
67,Calm,252/0/4/0/252/0,2.102%,Grimmsnarl
68,Careful,244/0/204/0/60/0,2.002%,Grimmsnarl
69,Careful,252/0/60/0/196/0,1.929%,Grimmsnarl
70,Careful,220/0/116/0/172/0,1.894%,Grimmsnarl
71,Careful,252/0/4/0/252/0,1.751%,Grimmsnarl
72,Careful,244/4/124/0/116/20,1.715%,Grimmsnarl
73,Careful,252/0/116/0/140/0,1.695%,Grimmsnarl
74,Calm,244/0/116/0/148/0,1.689%,Grimmsnarl
75,Careful,252/0/204/0/52/0,1.610%,Grimmsnarl
76,Careful,252/4/0/0/252/0,1.605%,Grimmsnarl
77,Jolly,4/252/0/0/0/252,1.551%,Grimmsnarl
78,Calm,252/0/140/0/116/0,1.362%,Grimmsnarl
79,Careful,220/4/220/0/60/4,1.256%,Grimmsnarl
80,Timid,0/0/0/252/4/252,21.474%,Regieleki
81,Timid,4/0/0/252/0/252,13.978%,Regieleki
82,Timid,0/0/4/252/0/252,4.264%,Regieleki
83,Jolly,28/252/52/0/108/68,4.209%,Regieleki
84,Jolly,4/252/0/0/0/252,2.820%,Regieleki
85,Jolly,188/252/0/0/0/68,2.430%,Regieleki
86,Jolly,0/252/0/0/4/252,2.216%,Regieleki
87,Adamant,4/188/196/0/4/116,2.118%,Regieleki
88,Jolly,52/252/4/0/116/84,2.047%,Regieleki
89,Adamant,52/252/84/0/4/116,1.778%,Regieleki
90,Timid,4/0/36/212/4/252,1.764%,Regieleki
91,Modest,16/0/116/252/0/124,1.371%,Regieleki
92,Modest,4/0/0/252/0/252,1.241%,Regieleki
93,Hasty,0/4/0/252/0/252,1.220%,Regieleki
94,Modest,0/0/0/252/4/252,1.142%,Regieleki
95,Jolly,0/252/4/0/0/252,1.082%,Regieleki
96,Adamant,20/212/148/0/4/124,0.927%,Regieleki
97,Modest,28/0/116/236/4/124,0.908%,Regieleki
98,Jolly,4/252/140/0/36/76,0.781%,Regieleki
99,Timid,100/0/4/148/4/252,0.770%,Regieleki
100,Adamant,244/196/4/0/60/4,13.944%,Rillaboom
101,Adamant,228/196/4/0/4/76,4.381%,Rillaboom
102,Adamant,252/252/0/0/4/0,3.924%,Rillaboom
103,Adamant,252/252/0/0/0/4,3.480%,Rillaboom
104,Adamant,132/116/68/0/188/4,2.530%,Rillaboom
105,Adamant,228/252/28/0/0/0,2.305%,Rillaboom
106,Adamant,220/252/36/0/0/0,2.095%,Rillaboom
107,Adamant,252/172/12/0/4/68,1.913%,Rillaboom
108,Adamant,236/116/4/0/148/4,1.860%,Rillaboom
109,Adamant,196/116/100/0/36/60,1.756%,Rillaboom
110,Careful,252/100/0/0/156/0,1.437%,Rillaboom
111,Adamant,252/148/12/0/4/92,1.393%,Rillaboom
112,Adamant,252/196/0/0/60/0,1.180%,Rillaboom
113,Adamant,188/196/12/0/108/4,1.147%,Rillaboom
114,Adamant,140/164/204/0/0/0,1.114%,Rillaboom
115,Brave,228/252/4/0/20/4,1.109%,Rillaboom
116,Adamant,220/116/28/0/76/68,1.052%,Rillaboom
117,Adamant,164/252/4/0/84/4,1.035%,Rillaboom
118,Adamant,132/252/4/0/68/52,0.962%,Rillaboom
119,Adamant,252/116/52/0/84/4,0.928%,Rillaboom
120,Adamant,164/204/4/0/108/28,12.989%,Groudon
121,Adamant,244/76/4/0/100/84,6.821%,Groudon
122,Jolly,0/252/0/0/4/252,4.918%,Groudon
123,Adamant,252/156/4/0/60/36,3.303%,Groudon
124,Jolly,60/164/4/0/28/252,2.654%,Groudon
125,Adamant,252/156/4/0/76/20,2.635%,Groudon
126,Brave,252/76/0/0/180/0,2.371%,Groudon
127,Adamant,252/4/4/0/116/132,2.050%,Groudon
128,Adamant,236/252/0/0/0/20,1.611%,Groudon
129,Adamant,196/180/4/0/92/36,1.586%,Groudon
130,Adamant,244/156/4/0/84/20,1.438%,Groudon
131,Adamant,244/156/4/0/28/76,1.428%,Groudon
132,Adamant,212/76/148/0/44/28,1.352%,Groudon
133,Adamant,252/236/0/0/0/20,1.327%,Groudon
134,Adamant,252/156/12/0/60/28,1.290%,Groudon
135,Adamant,228/156/20/0/28/76,1.285%,Groudon
136,Adamant,252/4/4/0/108/140,1.253%,Groudon
137,Careful,244/4/4/0/212/44,1.159%,Groudon
138,Adamant,212/156/4/0/100/36,1.115%,Groudon
139,Adamant,244/92/20/0/76/76,1.115%,Groudon
140,Timid,4/0/0/252/0/252,49.392%,Calyrex Shadow Rider
141,Timid,0/0/0/252/4/252,24.406%,Calyrex Shadow Rider
142,Timid,0/0/4/252/0/252,10.479%,Calyrex Shadow Rider
143,Timid,28/0/4/220/4/252,2.327%,Calyrex Shadow Rider
144,Timid,4/0/4/244/4/252,1.380%,Calyrex Shadow Rider
145,Timid,132/0/4/116/4/252,1.150%,Calyrex Shadow Rider
146,Timid,0/0/0/252/0/252,0.926%,Calyrex Shadow Rider
147,Modest,100/0/164/36/4/204,0.919%,Calyrex Shadow Rider
148,Timid,124/0/148/132/4/100,0.822%,Calyrex Shadow Rider
149,Timid,124/0/108/20/4/252,0.818%,Calyrex Shadow Rider
150,Timid,12/0/4/236/4/252,0.585%,Calyrex Shadow Rider
151,Timid,28/0/12/212/4/252,0.553%,Calyrex Shadow Rider
152,Timid,0/0/12/244/0/252,0.539%,Calyrex Shadow Rider
153,Modest,92/0/156/4/4/252,0.409%,Calyrex Shadow Rider
154,Modest,0/0/4/252/0/252,0.404%,Calyrex Shadow Rider
155,Timid,0/0/28/228/0/252,0.383%,Calyrex Shadow Rider
156,Timid,12/0/0/244/0/252,0.348%,Calyrex Shadow Rider
157,Timid,28/0/196/28/4/252,0.326%,Calyrex Shadow Rider
158,Modest,4/0/0/252/0/252,0.270%,Calyrex Shadow Rider
159,Timid,36/0/4/180/36/252,0.258%,Calyrex Shadow Rider
160,Jolly,4/252/0/0/0/252,14.442%,Thundurus Incarnate Forme
161,Calm,228/0/148/52/76/4,7.700%,Thundurus Incarnate Forme
162,Jolly,84/164/4/0/4/252,6.563%,Thundurus Incarnate Forme
163,Jolly,0/252/0/0/4/252,4.459%,Thundurus Incarnate Forme
164,Jolly,164/84/4/0/4/252,3.547%,Thundurus Incarnate Forme
165,Jolly,36/172/108/0/4/188,2.928%,Thundurus Incarnate Forme
166,Timid,252/0/156/4/76/20,2.792%,Thundurus Incarnate Forme
167,Jolly,148/180/4/0/4/172,2.699%,Thundurus Incarnate Forme
168,Jolly,84/252/0/0/0/172,2.609%,Thundurus Incarnate Forme
169,Adamant,0/252/0/0/4/252,2.559%,Thundurus Incarnate Forme
170,Timid,252/0/12/68/4/172,2.363%,Thundurus Incarnate Forme
171,Brave,252/252/4/0/0/0,2.158%,Thundurus Incarnate Forme
172,Jolly,36/148/28/0/44/252,1.762%,Thundurus Incarnate Forme
173,Jolly,164/4/84/0/4/252,1.712%,Thundurus Incarnate Forme
174,Jolly,92/148/4/0/12/252,1.610%,Thundurus Incarnate Forme
175,Jolly,36/212/4/0/4/252,1.597%,Thundurus Incarnate Forme
176,Jolly,52/164/0/36/4/252,1.518%,Thundurus Incarnate Forme
177,Calm,236/0/148/4/76/44,1.497%,Thundurus Incarnate Forme
178,Calm,252/0/164/4/76/12,1.462%,Thundurus Incarnate Forme
179,Jolly,0/252/4/0/0/252,1.366%,Thundurus Incarnate Forme
180,Jolly,4/252/0/0/0/252,24.569%,Landorus Therian Forme
181,Jolly,0/252/0/0/4/252,8.922%,Landorus Therian Forme
182,Jolly,36/220/0/0/0/252,7.815%,Landorus Therian Forme
183,Jolly,60/36/156/0/4/252,4.658%,Landorus Therian Forme
184,Adamant,252/36/20/0/20/180,3.446%,Landorus Therian Forme
185,Jolly,36/204/4/0/12/252,2.552%,Landorus Therian Forme
186,Jolly,124/116/4/0/12/252,2.372%,Landorus Therian Forme
187,Adamant,212/116/52/0/12/116,2.235%,Landorus Therian Forme
188,Jolly,68/252/0/0/0/188,2.026%,Landorus Therian Forme
189,Jolly,116/196/0/0/0/196,1.615%,Landorus Therian Forme
190,Naive,164/0/4/12/76/252,1.601%,Landorus Therian Forme
191,Adamant,252/36/28/0/188/4,1.394%,Landorus Therian Forme
192,Jolly,4/244/4/0/4/252,1.251%,Landorus Therian Forme
193,Jolly,4/196/52/0/4/252,1.237%,Landorus Therian Forme
194,Jolly,84/92/76/0/4/252,1.186%,Landorus Therian Forme
195,Adamant,212/36/28/0/108/124,1.137%,Landorus Therian Forme
196,Adamant,212/116/4/0/36/140,1.081%,Landorus Therian Forme
197,Adamant,164/36/76/0/4/228,0.960%,Landorus Therian Forme
198,Jolly,84/156/4/0/12/252,0.949%,Landorus Therian Forme
199,Jolly,44/252/4/0/4/204,0.924%,Landorus Therian Forme
200,Bold,180/0/204/0/124/0,17.042%,Gastrodon
201,Modest,244/0/172/60/28/4,8.543%,Gastrodon
202,Modest,180/0/252/60/12/4,5.769%,Gastrodon
203,Bold,180/0/204/4/116/4,5.223%,Gastrodon
204,Modest,172/0/100/140/92/4,4.814%,Gastrodon
205,Bold,220/0/252/0/0/36,4.054%,Gastrodon
206,Bold,172/0/204/0/132/0,2.639%,Gastrodon
207,Relaxed,180/0/204/0/124/0,2.590%,Gastrodon
208,Modest,172/0/172/4/156/4,2.377%,Gastrodon
209,Bold,172/0/204/4/124/4,2.113%,Gastrodon
210,Relaxed,172/0/148/44/140/0,2.080%,Gastrodon
211,Relaxed,180/0/148/52/124/0,1.777%,Gastrodon
212,Modest,212/0/156/28/108/4,1.466%,Gastrodon
213,Sassy,252/0/196/0/60/0,1.448%,Gastrodon
