,NationalPokedexNumber,Name,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Variant,image_url
0,1,Bulbasaur,1,Common,Grass,Poison,318,45,49,49,65,65,45,,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
1,2,Ivysaur,1,Common,Grass,Poison,405,60,62,63,80,80,60,,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
2,3,Venusaur,1,Common,Grass,Poison,525,80,82,83,100,100,80,,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
3,3,Venusaur,1,Common,Grass,Poison,625,80,100,123,122,120,80,Mega Venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png
4,4,Charmander,1,Common,Fire,,309,39,52,43,60,50,65,,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
5,5,Charmeleon,1,Common,Fire,,405,58,64,58,80,65,80,,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
6,6,Charizard,1,Common,Fire,Flying,534,78,84,78,109,85,100,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
7,6,Charizard,1,Common,Fire,Dragon,634,78,130,111,130,85,100,Mega Charizard X,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png
8,6,Charizard,1,Common,Fire,Flying,634,78,104,78,159,115,100,Mega Charizard Y,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png
9,7,Squirtle,1,Common,Water,,314,44,48,65,50,64,43,,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
10,8,Wartortle,1,Common,Water,,405,59,63,80,65,80,58,,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
11,9,Blastoise,1,Common,Water,,530,79,83,100,85,105,78,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
12,9,Blastoise,1,Common,Water,,630,79,103,120,135,115,78,Mega Blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png
13,10,Caterpie,1,Common,Bug,,195,45,30,35,20,20,45,,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
14,11,Metapod,1,Common,Bug,,205,50,20,55,25,25,30,,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
15,12,Butterfree,1,Common,Bug,Flying,395,60,45,50,90,80,70,,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
16,13,Weedle,1,Common,Bug,Poison,195,40,35,30,20,20,50,,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
17,14,Kakuna,1,Common,Bug,Poison,205,45,25,50,25,25,35,,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
18,15,Beedrill,1,Common,Bug,Poison,395,65,90,40,45,80,75,,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
19,15,Beedrill,1,Common,Bug,Poison,495,65,150,40,15,80,145,Mega Beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
20,16,Pidgey,1,Common,Normal,Flying,251,40,45,40,35,35,56,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
21,17,Pidgeotto,1,Common,Normal,Flying,349,63,60,55,50,50,71,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
22,18,Pidgeot,1,Common,Normal,Flying,479,83,80,75,70,70,101,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
23,18,Pidgeot,1,Common,Normal,Flying,579,83,80,80,135,80,121,Mega Pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
24,19,Rattata,1,Common,Normal,,253,30,56,35,25,35,72,,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
25,19,Rattata,1,Common,Dark,Normal,253,30,56,35,25,35,72,Alolan Rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
26,20,Raticate,1,Common,Normal,,413,55,81,60,50,70,97,,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
27,20,Raticate,1,Common,Dark,Normal,413,75,71,70,40,80,77,Alolan Raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
28,21,Spearow,1,Common,Normal,Flying,262,40,60,30,31,31,70,,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
29,22,Fearow,1,Common,Normal,Flying,442,65,90,65,61,61,100,,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
30,23,Ekans,1,Common,Poison,,288,35,60,44,40,54,55,,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
31,24,Arbok,1,Common,Poison,,448,60,95,69,65,79,80,,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
32,25,Pikachu,1,Common,Electric,,320,35,55,40,50,50,90,,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
33,25,Pikachu,1,Common,Electric,,430,45,80,50,75,60,120,Partner Pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
34,26,Raichu,1,Common,Electric,,485,60,90,55,90,80,110,,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
35,26,Raichu,1,Common,Electric,Psychic,485,60,85,50,95,85,110,Alolan Raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
